"","Fungal","Male","Diet","day","est","lower","upper","Treatment","Sex"
"160",1,1,"CY/C",3,0.987346599144119,0.981929647317694,0.993245969667788,"Fungal","Male"
"161",1,1,"CY/C",4,0.98408616834157,0.976652295626845,0.991221004585999,"Fungal","Male"
"162",1,1,"CY/C",5,0.972093300509955,0.963597047428323,0.980913239734173,"Fungal","Male"
"163",1,1,"CY/C",6,0.950218924927761,0.939371032812282,0.961042985342685,"Fungal","Male"
"164",1,1,"CY/C",7,0.912511085700649,0.895996326453546,0.926331098459544,"Fungal","Male"
"165",1,1,"CY/C",8,0.861211045262555,0.836542978105559,0.881152480120091,"Fungal","Male"
"166",1,1,"CY/C",9,0.800814654764714,0.76941573276217,0.825529729523656,"Fungal","Male"
"167",1,1,"CY/C",10,0.69789434851899,0.663819989450059,0.726198858044989,"Fungal","Male"
"168",1,1,"CY/C",11,0.596223655118087,0.559982530326539,0.62652738642641,"Fungal","Male"
"169",1,1,"CY/C",12,0.500477797086432,0.459643413902205,0.538809835021589,"Fungal","Male"
"170",1,0,"CY/C",0,1,NA,NA,"Fungal","Female"
"171",1,0,"CY/C",1,0.990772556744258,0.985727474732902,0.99467928051167,"Fungal","Female"
"172",1,0,"CY/C",2,0.987294797511252,0.981213121276284,0.992554959447985,"Fungal","Female"
"173",1,0,"CY/C",3,0.984725105349796,0.977735168825539,0.990883535778614,"Fungal","Female"
"174",1,0,"CY/C",4,0.980795785210097,0.971198263149017,0.988378982078473,"Fungal","Female"
"175",1,0,"CY/C",5,0.95973473369368,0.94821700822205,0.969843625899289,"Fungal","Female"
"176",1,0,"CY/C",6,0.921833911141031,0.9084227884307,0.93471365183263,"Fungal","Female"
"177",1,0,"CY/C",7,0.858065238444892,0.836651088122191,0.880089904369485,"Fungal","Female"
"178",1,0,"CY/C",8,0.774522790188836,0.74039767738784,0.80303192195284,"Fungal","Female"
"179",1,0,"CY/C",9,0.680974940547945,0.638490259784139,0.719680564470657,"Fungal","Female"
"180",1,0,"CY/C",10,0.599553392488549,0.55935607907742,0.633440264519503,"Fungal","Female"
"181",1,0,"CY/C",11,0.518236855468616,0.482022478823015,0.55027861081437,"Fungal","Female"
